Timestamp (s),Engine RPM,Vehicle Speed (km/h),Coolant Temp (°C),Throttle Position (%),Engine Load (%),Intake Air Temp (°C),MAF Air Flow (g/s)
0,714,0,61,0,11,44,43.3
1,698,0,62,4,18,31,23.4
2,856,0,62,2,12,24,43.9
3,621,0,64,3,11,55,21.1
4,706,0,65,4,14,30,16.7
5,829,0,66,2,16,56,25.6
6,705,0,67,5,13,49,25.8
7,952,0,68,3,15,56,30.8
8,911,0,69,5,10,50,13.3
9,815,0,70,4,15,47,23.8
10,1113,8,71,49,42,60,3.1
11,1410,22,72,39,58,43,29.7
12,1650,34,73,47,43,27,36.7
13,1870,42,74,58,77,54,17.5
14,2033,47,75,60,85,39,43.2
15,2280,54,76,40,57,47,27.2
16,2572,63,77,57,62,24,2.9
17,2776,75,78,37,53,53,2.3
18,2887,83,79,48,56,21,15.9
19,3166,88,80,59,87,43,46.7
20,3378,95,81,43,80,58,20.2
21,3531,109,82,60,58,50,45.5
22,3668,122,83,21,70,30,34.7
23,3967,130,84,64,59,27,4.1
24,4159,138,85,27,45,28,41.1
25,4282,152,86,35,77,56,26.6
26,4524,165,87,61,75,25,32.0
27,4751,177,88,57,83,29,22.3
28,4939,180,90,20,83,49,4.9
29,5092,180,91,20,77,22,42.8
30,5381,180,91,73,61,32,35.2
31,5627,180,92,27,78,39,29.3
32,5847,180,94,39,62,36,42.1
33,6054,180,94,32,45,38,34.6
34,6314,180,95,23,63,30,41.4
35,6500,180,96,34,49,56,36.8
36,6500,180,97,69,53,48,39.3
37,6500,180,98,56,53,53,29.4
38,6500,180,99,77,69,55,21.1
39,6500,180,100,59,60,58,19.7
40,2331,101,101,16,21,59,39.6
41,2293,88,102,23,24,20,8.1
42,2376,100,103,10,28,21,39.5
43,2973,93,104,18,33,22,35.9
44,2584,99,105,16,22,53,15.7
45,2826,89,105,29,34,21,12.4
46,2085,82,105,16,34,57,48.8
47,2332,113,105,26,25,42,20.6
48,2810,83,105,30,32,50,34.5
49,2574,111,105,21,24,35,2.7
50,2968,84,105,30,34,50,49.6
51,2434,107,105,10,21,37,36.2
52,2818,106,105,16,33,21,4.7
53,2750,112,105,19,38,59,18.1
54,2234,92,105,13,39,31,41.9
55,2529,100,105,19,35,33,44.4
56,2595,93,105,21,30,53,49.3
57,2260,105,105,30,23,33,13.4
58,2927,116,105,25,32,22,25.0
59,2816,88,105,29,38,42,49.1
60,2852,112,105,28,33,32,15.9
61,2430,101,105,11,30,37,23.1
62,2745,96,105,27,32,28,22.0
63,2698,88,105,20,25,50,45.3
64,2006,101,105,21,31,27,8.9
65,2411,91,105,10,33,46,14.1
66,2694,87,105,18,20,57,28.8
67,2908,103,105,11,29,29,37.9
68,2275,101,105,28,38,36,6.1
69,2190,98,105,26,28,53,29.0
70,2003,92,105,1,20,25,48.2
71,1724,82,105,1,14,38,37.9
72,1548,76,105,7,16,51,27.3
73,1286,70,105,3,18,23,36.9
74,989,61,105,3,16,46,13.4
75,846,51,105,9,10,54,22.9
76,600,42,105,9,11,48,49.7
77,600,37,105,6,13,28,11.9
78,600,29,105,8,20,58,49.4
79,600,23,105,1,14,22,43.5
80,600,18,105,7,10,37,26.8
81,600,11,105,5,19,26,4.9
82,600,4,105,5,20,37,38.3
83,600,0,105,10,18,32,7.5
84,600,0,105,5,19,23,34.8
85,600,0,105,6,20,29,7.2
86,600,0,105,8,13,43,40.3
87,600,0,105,5,20,49,9.6
88,600,0,105,5,13,38,7.0
89,600,0,105,1,19,60,29.7
90,600,0,105,8,19,51,11.6
91,600,0,105,7,19,28,13.2
92,600,0,105,0,19,55,9.6
93,600,0,105,6,13,46,27.4
94,600,0,105,8,16,35,30.9
95,600,0,105,7,20,39,36.7
96,600,0,105,7,11,44,5.3
97,600,0,105,0,15,45,38.6
98,600,0,105,4,20,50,27.7
99,600,0,105,7,14,25,41.9
100,600,0,105,7,17,31,43.1
101,600,0,105,7,12,30,47.5
102,600,0,105,5,16,30,32.8
103,600,0,105,6,12,56,32.8
104,600,0,105,8,20,30,32.6
105,600,0,105,9,16,56,18.3
106,600,0,105,9,14,27,37.6
107,600,0,105,7,15,39,34.3
108,600,0,105,6,12,32,35.0
109,600,0,105,1,16,56,12.1
110,600,0,105,9,18,22,48.6
111,600,0,105,7,13,30,44.1
112,600,0,105,8,18,24,18.1
113,600,0,105,4,20,40,48.9
114,600,0,105,7,10,23,43.2
115,600,0,105,6,18,45,17.2
116,600,0,105,5,13,39,39.9
117,600,0,105,2,13,20,23.9
118,600,0,105,2,16,20,26.9
119,600,0,105,9,12,24,34.3
120,600,0,105,0,19,36,44.3
121,600,0,105,8,14,47,40.1
122,600,0,105,1,13,42,46.0
123,600,0,105,2,14,51,2.9
124,600,0,105,4,13,23,15.7
125,600,0,105,5,12,60,27.9
126,600,0,105,7,20,28,9.9
127,600,0,105,9,19,35,35.4
128,600,0,105,8,20,30,7.9
129,600,0,105,10,19,23,8.4
130,600,0,105,1,13,46,29.7
131,600,0,105,9,10,41,16.0
132,600,0,105,1,12,54,40.7
133,600,0,105,5,15,49,44.0
134,600,0,105,3,12,55,32.4
135,600,0,105,7,11,46,32.6
136,600,0,105,1,14,51,17.8
137,600,0,105,10,11,33,45.1
138,600,0,105,5,19,51,7.9
139,600,0,105,5,15,24,6.6
140,600,0,105,7,11,20,44.1
141,600,0,105,0,11,39,39.8
142,600,0,105,1,15,35,36.8
143,600,0,105,3,14,44,37.7
144,600,0,105,1,18,51,34.5
145,600,0,105,5,18,20,38.5
146,600,0,105,1,18,48,17.3
147,600,0,105,6,12,54,34.7
148,600,0,105,6,20,51,31.4
149,600,0,105,2,17,50,17.4
150,600,0,105,1,20,39,12.2
151,600,0,105,3,15,21,29.1
152,600,0,105,9,14,21,4.6
153,600,0,105,0,11,48,20.9
154,600,0,105,5,12,23,16.6
155,600,0,105,0,18,51,5.1
156,600,0,105,5,18,56,13.3
